Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	MeanPupil
1	ObjOut	11	67_T_R_M_P_SP_P_S_S	1	1	0.061533
1	ObjOut	11	68_T_R_M_I_SP_P_P_D	1	1	0.047903
1	ObjOut	11	69_T_R_M_P_PS_S_P_S	1	1	0.028387
1	ObjOut	11	70_T_R_M_I_PS_S_S_D	1	1	0.053645
1	ObjOut	11	72_T_R_M_I_PS_P_P_S	1	1	0.033935
1	ObjOut	11	81_T_R_M_P_OB_B_O_S	1	1	0.067839
1	ObjOut	11	82_T_R_M_I_OB_B_B_D	1	1	0.019097
1	ObjOut	11	83_T_R_M_P_BO_O_B_S	1	1	0.011097
1	ObjOut	11	84_T_R_M_I_BO_O_O_D	1	1	-0.024417
1	ObjOut	11	85_T_R_M_I_OB_O_O_S	1	1	0.017387
1	ObjOut	11	86_T_R_M_P_OB_O_B_D	1	1	0.021387
1	ObjOut	11	87_T_R_M_I_BO_B_B_S	1	1	0.026290
1	ObjOut	11	88_T_R_M_P_BO_B_O_D	1	1	0.031742
1	ObjOut	12	49_C_R_M_I_SO_S_B_S	0	1	0.021806
1	ObjOut	12	50_C_R_M_P_SO_S_O_D	0	1	0.042032
1	ObjOut	12	53_C_R_M_P_OS_S_O_S	0	1	0.002935
1	ObjOut	12	56_C_R_M_I_OS_O_P_S	0	1	0.078452
1	ObjOut	12	58_C_R_M_P_BP_B_P_D	0	1	0.049806
1	ObjOut	12	59_C_R_M_P_BP_P_B_S	0	1	0.063000
1	ObjOut	12	61_C_R_M_P_PB_B_P_S	0	1	0.032968
1	ObjOut	12	63_C_R_M_P_PB_P_B_D	0	1	0.049387
1	ObjOut	12	64_C_R_M_I_PB_P_O_S	0	1	-0.010560
1	ObjOut	12	65_T_R_M_I_SP_S_S_S	1	1	0.102346
1	ObjOut	12	67_T_R_M_P_SP_P_S_S	1	1	0.063533
1	ObjOut	12	68_T_R_M_I_SP_P_P_D	1	1	0.048903
1	ObjOut	12	69_T_R_M_P_PS_S_P_S	1	1	0.010387
1	ObjOut	12	70_T_R_M_I_PS_S_S_D	1	1	0.064645
1	ObjOut	12	72_T_R_M_I_PS_P_P_S	1	1	0.045935
1	ObjOut	12	81_T_R_M_P_OB_B_O_S	1	1	0.066839
1	ObjOut	12	82_T_R_M_I_OB_B_B_D	1	1	0.021097
1	ObjOut	12	83_T_R_M_P_BO_O_B_S	1	1	0.024097
1	ObjOut	12	84_T_R_M_I_BO_O_O_D	1	1	-0.013417
1	ObjOut	12	85_T_R_M_I_OB_O_O_S	1	1	0.017387
1	ObjOut	12	86_T_R_M_P_OB_O_B_D	1	1	0.042387
1	ObjOut	12	87_T_R_M_I_BO_B_B_S	1	1	0.022290
1	ObjOut	12	88_T_R_M_P_BO_B_O_D	1	1	0.023742
1	ObjOut	13	49_C_R_M_I_SO_S_B_S	0	1	0.018806
1	ObjOut	13	50_C_R_M_P_SO_S_O_D	0	1	0.023032
1	ObjOut	13	53_C_R_M_P_OS_S_O_S	0	1	0.027935
1	ObjOut	13	56_C_R_M_I_OS_O_P_S	0	1	0.086452
1	ObjOut	13	58_C_R_M_P_BP_B_P_D	0	1	0.031806
1	ObjOut	13	59_C_R_M_P_BP_P_B_S	0	1	0.062000
