Participant 	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	10	20_C_H_M_P_SO_O_O_D	0	1	1309
1	ObjOut	10	21_C_H_M_I_OS_S_O_S	0	1	1352
1	ObjOut	10	22_C_H_M_P_OS_S_S_D	0	1	804
1	ObjOut	10	23_C_H_M_I_OS_O_S_D	0	1	1305
1	ObjOut	10	24_C_H_M_P_OS_O_O_S	0	1	1268
1	ObjOut	10	26_C_H_M_I_BP_B_P_D	0	1	1312
1	ObjOut	10	27_C_H_M_I_BP_P_B_S	0	1	1316
1	ObjOut	10	28_C_H_M_P_BP_P_P_D	0	1	1338
1	ObjOut	10	29_C_H_M_I_PB_B_P_S	0	1	843
1	ObjOut	10	31_C_H_M_I_PB_P_B_D	0	1	1338
1	ObjOut	10	32_C_H_M_P_PB_P_P_S	0	1	1360
1	ObjOut	10	73_T_H_M_I_SP_S_P_D	1	1	1336
1	ObjOut	10	74_T_H_M_I_SP_P_S_S	1	1	1284
1	ObjOut	10	79_T_H_M_I_PS_S_P_S	1	1	1331
1	ObjOut	10	80_T_H_M_I_PS_P_S_D	1	1	1300
1	ObjOut	10	91_T_H_M_I_BO_O_B_S	1	1	1255
1	ObjOut	10	92_T_H_M_I_BO_B_O_D	1	1	1316
1	ObjOut	10	93_T_H_M_I_OB_O_B_D	1	1	1322
1	ObjOut	11	17_C_H_M_P_SO_S_S_S	0	1	1326
1	ObjOut	11	18_C_H_M_I_SO_S_O_D	0	1	763
1	ObjOut	11	19_C_H_M_I_SO_O_S_S	0	1	1318
1	ObjOut	11	20_C_H_M_P_SO_O_O_D	0	1	1300
1	ObjOut	11	21_C_H_M_I_OS_S_O_S	0	1	1352
1	ObjOut	11	22_C_H_M_P_OS_S_S_D	0	1	813
1	ObjOut	11	23_C_H_M_I_OS_O_S_D	0	1	1304
1	ObjOut	11	24_C_H_M_P_OS_O_O_S	0	1	1144
1	ObjOut	11	26_C_H_M_I_BP_B_P_D	0	1	1308
1	ObjOut	11	27_C_H_M_I_BP_P_B_S	0	1	1316
1	ObjOut	11	28_C_H_M_P_BP_P_P_D	0	1	1343
1	ObjOut	11	29_C_H_M_I_PB_B_P_S	0	1	840
1	ObjOut	11	31_C_H_M_I_PB_P_B_D	0	1	1340
1	ObjOut	11	32_C_H_M_P_PB_P_P_S	0	1	1360
1	ObjOut	11	73_T_H_M_I_SP_S_P_D	1	1	1335
1	ObjOut	11	74_T_H_M_I_SP_P_S_S	1	1	1303
1	ObjOut	11	79_T_H_M_I_PS_S_P_S	1	1	1327
1	ObjOut	11	80_T_H_M_I_PS_P_S_D	1	1	1298
1	ObjOut	11	91_T_H_M_I_BO_O_B_S	1	1	1252
1	ObjOut	11	92_T_H_M_I_BO_B_O_D	1	1	1320
1	ObjOut	11	93_T_H_M_I_OB_O_B_D	1	1	1322
1	ObjOut	12	17_C_H_M_P_SO_S_S_S	0	1	1331
1	ObjOut	12	18_C_H_M_I_SO_S_O_D	0	1	759
1	ObjOut	12	19_C_H_M_I_SO_O_S_S	0	1	1317
1	ObjOut	12	20_C_H_M_P_SO_O_O_D	0	1	1302
1	ObjOut	12	21_C_H_M_I_OS_S_O_S	0	1	1355
1	ObjOut	12	22_C_H_M_P_OS_S_S_D	0	1	803
1	ObjOut	12	23_C_H_M_I_OS_O_S_D	0	1	1303
1	ObjOut	12	24_C_H_M_P_OS_O_O_S	0	1	1003
1	ObjOut	12	26_C_H_M_I_BP_B_P_D	0	1	1312
1	ObjOut	12	27_C_H_M_I_BP_P_B_S	0	1	1315
1	ObjOut	12	28_C_H_M_P_BP_P_P_D	0	1	1344
1	ObjOut	12	29_C_H_M_I_PB_B_P_S	0	1	842
1	ObjOut	12	31_C_H_M_I_PB_P_B_D	0	1	1341
1	ObjOut	12	32_C_H_M_P_PB_P_P_S	0	1	1357
1	ObjOut	12	73_T_H_M_I_SP_S_P_D	1	1	1335
1	ObjOut	12	74_T_H_M_I_SP_P_S_S	1	1	1301
1	ObjOut	12	79_T_H_M_I_PS_S_P_S	1	1	1169
1	ObjOut	12	80_T_H_M_I_PS_P_S_D	1	1	1300
1	ObjOut	12	91_T_H_M_I_BO_O_B_S	1	1	1258
1	ObjOut	12	92_T_H_M_I_BO_B_O_D	1	1	1314
1	ObjOut	12	93_T_H_M_I_OB_O_B_D	1	1	1322
1	ObjOut	13	17_C_H_M_P_SO_S_S_S	0	1	1324
1	ObjOut	13	18_C_H_M_I_SO_S_O_D	0	1	763
1	ObjOut	13	19_C_H_M_I_SO_O_S_S	0	1	1313
1	ObjOut	13	20_C_H_M_P_SO_O_O_D	0	1	1304
1	ObjOut	13	21_C_H_M_I_OS_S_O_S	0	1	1355
1	ObjOut	13	22_C_H_M_P_OS_S_S_D	0	1	809
1	ObjOut	13	23_C_H_M_I_OS_O_S_D	0	1	1303
1	ObjOut	13	24_C_H_M_P_OS_O_O_S	0	1	881
1	ObjOut	13	26_C_H_M_I_BP_B_P_D	0	1	1309
1	ObjOut	13	27_C_H_M_I_BP_P_B_S	0	1	1315
1	ObjOut	13	28_C_H_M_P_BP_P_P_D	0	1	1346
1	ObjOut	13	29_C_H_M_I_PB_B_P_S	0	1	836
1	ObjOut	13	31_C_H_M_I_PB_P_B_D	0	1	1339
1	ObjOut	13	32_C_H_M_P_PB_P_P_S	0	1	1360
1	ObjOut	13	73_T_H_M_I_SP_S_P_D	1	1	1336
1	ObjOut	13	74_T_H_M_I_SP_P_S_S	1	1	1300
1	ObjOut	13	79_T_H_M_I_PS_S_P_S	1	1	1009
1	ObjOut	13	80_T_H_M_I_PS_P_S_D	1	1	1303
1	ObjOut	13	91_T_H_M_I_BO_O_B_S	1	1	1252
1	ObjOut	13	92_T_H_M_I_BO_B_O_D	1	1	1311
1	ObjOut	13	93_T_H_M_I_OB_O_B_D	1	1	1324
1	ObjOut	14	17_C_H_M_P_SO_S_S_S	0	1	1323
1	ObjOut	14	18_C_H_M_I_SO_S_O_D	0	1	750
1	ObjOut	14	19_C_H_M_I_SO_O_S_S	0	1	1317
1	ObjOut	14	20_C_H_M_P_SO_O_O_D	0	1	1298
1	ObjOut	14	21_C_H_M_I_OS_S_O_S	0	1	1349
1	ObjOut	14	22_C_H_M_P_OS_S_S_D	0	1	804
1	ObjOut	14	23_C_H_M_I_OS_O_S_D	0	1	1303
1	ObjOut	14	24_C_H_M_P_OS_O_O_S	0	1	814
1	ObjOut	14	26_C_H_M_I_BP_B_P_D	0	1	1304
1	ObjOut	14	27_C_H_M_I_BP_P_B_S	0	1	1317
1	ObjOut	14	28_C_H_M_P_BP_P_P_D	0	1	1344
1	ObjOut	14	29_C_H_M_I_PB_B_P_S	0	1	837
1	ObjOut	14	31_C_H_M_I_PB_P_B_D	0	1	1338
1	ObjOut	14	32_C_H_M_P_PB_P_P_S	0	1	1358
1	ObjOut	14	73_T_H_M_I_SP_S_P_D	1	1	1175
1	ObjOut	14	74_T_H_M_I_SP_P_S_S	1	1	1225
1	ObjOut	14	79_T_H_M_I_PS_S_P_S	1	1	1027
1	ObjOut	14	80_T_H_M_I_PS_P_S_D	1	1	1303
1	ObjOut	14	91_T_H_M_I_BO_O_B_S	1	1	1258
1	ObjOut	14	92_T_H_M_I_BO_B_O_D	1	1	1320
1	ObjOut	14	93_T_H_M_I_OB_O_B_D	1	1	1324
1	ObjOut	15	17_C_H_M_P_SO_S_S_S	0	1	1321
1	ObjOut	15	18_C_H_M_I_SO_S_O_D	0	1	794
1	ObjOut	15	19_C_H_M_I_SO_O_S_S	0	1	1319
