Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	10	50_C_R_M_P_SO_S_O_D	0	1	1298
1	ObjOut	10	53_C_R_M_P_OS_S_O_S	0	1	1315
1	ObjOut	10	56_C_R_M_I_OS_O_P_S	0	1	972
1	ObjOut	10	58_C_R_M_P_BP_B_P_D	0	1	690
1	ObjOut	10	59_C_R_M_P_BP_P_B_S	0	1	1332
1	ObjOut	10	60_C_R_M_I_BP_P_O_D	0	1	1280
1	ObjOut	10	61_C_R_M_P_PB_B_P_S	0	1	724
1	ObjOut	10	63_C_R_M_P_PB_P_B_D	0	1	1278
1	ObjOut	10	64_C_R_M_I_PB_P_O_S	0	1	998
1	ObjOut	10	65_T_R_M_I_SP_S_S_S	1	1	1132
1	ObjOut	10	67_T_R_M_P_SP_P_S_S	1	1	806
1	ObjOut	10	68_T_R_M_I_SP_P_P_D	1	1	1340
1	ObjOut	10	69_T_R_M_P_PS_S_P_S	1	1	1184
1	ObjOut	10	70_T_R_M_I_PS_S_S_D	1	1	1291
1	ObjOut	10	72_T_R_M_I_PS_P_P_S	1	1	691
1	ObjOut	10	81_T_R_M_P_OB_B_O_S	1	1	961
1	ObjOut	10	82_T_R_M_I_OB_B_B_D	1	1	700
1	ObjOut	10	83_T_R_M_P_BO_O_B_S	1	1	1328
1	ObjOut	10	84_T_R_M_I_BO_O_O_D	1	1	688
1	ObjOut	10	85_T_R_M_I_OB_O_O_S	1	1	1324
1	ObjOut	10	86_T_R_M_P_OB_O_B_D	1	1	1305
1	ObjOut	10	87_T_R_M_I_BO_B_B_S	1	1	1025
1	ObjOut	10	88_T_R_M_P_BO_B_O_D	1	1	1314
1	ObjOut	11	49_C_R_M_I_SO_S_B_S	0	1	812
1	ObjOut	11	50_C_R_M_P_SO_S_O_D	0	1	1299
1	ObjOut	11	53_C_R_M_P_OS_S_O_S	0	1	1315
1	ObjOut	11	56_C_R_M_I_OS_O_P_S	0	1	765
1	ObjOut	11	58_C_R_M_P_BP_B_P_D	0	1	696
1	ObjOut	11	59_C_R_M_P_BP_P_B_S	0	1	1328
1	ObjOut	11	61_C_R_M_P_PB_B_P_S	0	1	634
1	ObjOut	11	63_C_R_M_P_PB_P_B_D	0	1	1274
1	ObjOut	11	64_C_R_M_I_PB_P_O_S	0	1	995
1	ObjOut	11	65_T_R_M_I_SP_S_S_S	1	1	1126
1	ObjOut	11	67_T_R_M_P_SP_P_S_S	1	1	807
1	ObjOut	11	68_T_R_M_I_SP_P_P_D	1	1	1312
1	ObjOut	11	69_T_R_M_P_PS_S_P_S	1	1	956
1	ObjOut	11	70_T_R_M_I_PS_S_S_D	1	1	1089
1	ObjOut	11	72_T_R_M_I_PS_P_P_S	1	1	678
1	ObjOut	11	81_T_R_M_P_OB_B_O_S	1	1	967
1	ObjOut	11	82_T_R_M_I_OB_B_B_D	1	1	709
1	ObjOut	11	83_T_R_M_P_BO_O_B_S	1	1	1341
1	ObjOut	11	84_T_R_M_I_BO_O_O_D	1	1	684
1	ObjOut	11	85_T_R_M_I_OB_O_O_S	1	1	1325
1	ObjOut	11	86_T_R_M_P_OB_O_B_D	1	1	1301
1	ObjOut	11	87_T_R_M_I_BO_B_B_S	1	1	849
1	ObjOut	11	88_T_R_M_P_BO_B_O_D	1	1	1317
1	ObjOut	12	49_C_R_M_I_SO_S_B_S	0	1	668
1	ObjOut	12	50_C_R_M_P_SO_S_O_D	0	1	1305
1	ObjOut	12	53_C_R_M_P_OS_S_O_S	0	1	1317
1	ObjOut	12	56_C_R_M_I_OS_O_P_S	0	1	729
1	ObjOut	12	58_C_R_M_P_BP_B_P_D	0	1	691
1	ObjOut	12	59_C_R_M_P_BP_P_B_S	0	1	1335
1	ObjOut	12	61_C_R_M_P_PB_B_P_S	0	1	646
1	ObjOut	12	63_C_R_M_P_PB_P_B_D	0	1	1263
1	ObjOut	12	64_C_R_M_I_PB_P_O_S	0	1	997
1	ObjOut	12	65_T_R_M_I_SP_S_S_S	1	1	1086
1	ObjOut	12	67_T_R_M_P_SP_P_S_S	1	1	811
1	ObjOut	12	68_T_R_M_I_SP_P_P_D	1	1	1055
1	ObjOut	12	69_T_R_M_P_PS_S_P_S	1	1	756
1	ObjOut	12	70_T_R_M_I_PS_S_S_D	1	1	904
1	ObjOut	12	72_T_R_M_I_PS_P_P_S	1	1	674
1	ObjOut	12	81_T_R_M_P_OB_B_O_S	1	1	970
1	ObjOut	12	82_T_R_M_I_OB_B_B_D	1	1	707
1	ObjOut	12	83_T_R_M_P_BO_O_B_S	1	1	1338
1	ObjOut	12	84_T_R_M_I_BO_O_O_D	1	1	687
1	ObjOut	12	85_T_R_M_I_OB_O_O_S	1	1	1331
1	ObjOut	12	86_T_R_M_P_OB_O_B_D	1	1	1254
1	ObjOut	12	87_T_R_M_I_BO_B_B_S	1	1	711
1	ObjOut	12	88_T_R_M_P_BO_B_O_D	1	1	1315
1	ObjOut	13	49_C_R_M_I_SO_S_B_S	0	1	679
1	ObjOut	13	50_C_R_M_P_SO_S_O_D	0	1	1043
1	ObjOut	13	53_C_R_M_P_OS_S_O_S	0	1	1205
1	ObjOut	13	56_C_R_M_I_OS_O_P_S	0	1	725
1	ObjOut	13	58_C_R_M_P_BP_B_P_D	0	1	689
1	ObjOut	13	59_C_R_M_P_BP_P_B_S	0	1	1290
1	ObjOut	13	61_C_R_M_P_PB_B_P_S	0	1	647
1	ObjOut	13	63_C_R_M_P_PB_P_B_D	0	1	1269
1	ObjOut	13	64_C_R_M_I_PB_P_O_S	0	1	999
1	ObjOut	13	65_T_R_M_I_SP_S_S_S	1	1	1078
1	ObjOut	13	67_T_R_M_P_SP_P_S_S	1	1	775
1	ObjOut	13	68_T_R_M_I_SP_P_P_D	1	1	844
1	ObjOut	13	69_T_R_M_P_PS_S_P_S	1	1	604
1	ObjOut	13	70_T_R_M_I_PS_S_S_D	1	1	760
1	ObjOut	13	72_T_R_M_I_PS_P_P_S	1	1	674
1	ObjOut	13	81_T_R_M_P_OB_B_O_S	1	1	807
1	ObjOut	13	82_T_R_M_I_OB_B_B_D	1	1	705
1	ObjOut	13	83_T_R_M_P_BO_O_B_S	1	1	1182
1	ObjOut	13	84_T_R_M_I_BO_O_O_D	1	1	681
1	ObjOut	13	85_T_R_M_I_OB_O_O_S	1	1	1260
1	ObjOut	13	86_T_R_M_P_OB_O_B_D	1	1	979
1	ObjOut	13	87_T_R_M_I_BO_B_B_S	1	1	687
1	ObjOut	13	88_T_R_M_P_BO_B_O_D	1	1	1096
1	ObjOut	14	49_C_R_M_I_SO_S_B_S	0	1	677
1	ObjOut	14	50_C_R_M_P_SO_S_O_D	0	1	810
1	ObjOut	14	53_C_R_M_P_OS_S_O_S	0	1	963
1	ObjOut	14	56_C_R_M_I_OS_O_P_S	0	1	725
1	ObjOut	14	58_C_R_M_P_BP_B_P_D	0	1	699
1	ObjOut	14	59_C_R_M_P_BP_P_B_S	0	1	1027
1	ObjOut	14	61_C_R_M_P_PB_B_P_S	0	1	645
1	ObjOut	14	63_C_R_M_P_PB_P_B_D	0	1	1010
1	ObjOut	14	64_C_R_M_I_PB_P_O_S	0	1	1000
1	ObjOut	14	65_T_R_M_I_SP_S_S_S	1	1	1063
1	ObjOut	14	67_T_R_M_P_SP_P_S_S	1	1	777
1	ObjOut	14	68_T_R_M_I_SP_P_P_D	1	1	716
1	ObjOut	14	69_T_R_M_P_PS_S_P_S	1	1	625
1	ObjOut	14	70_T_R_M_I_PS_S_S_D	1	1	672
1	ObjOut	14	72_T_R_M_I_PS_P_P_S	1	1	677
1	ObjOut	14	81_T_R_M_P_OB_B_O_S	1	1	684
1	ObjOut	14	82_T_R_M_I_OB_B_B_D	1	1	707
1	ObjOut	14	83_T_R_M_P_BO_O_B_S	1	1	964
1	ObjOut	14	84_T_R_M_I_BO_O_O_D	1	1	685
1	ObjOut	14	85_T_R_M_I_OB_O_O_S	1	1	1027
1	ObjOut	14	86_T_R_M_P_OB_O_B_D	1	1	761
1	ObjOut	14	87_T_R_M_I_BO_B_B_S	1	1	676
1	ObjOut	14	88_T_R_M_P_BO_B_O_D	1	1	813
1	ObjOut	15	49_C_R_M_I_SO_S_B_S	0	1	683
1	ObjOut	15	50_C_R_M_P_SO_S_O_D	0	1	680
1	ObjOut	15	53_C_R_M_P_OS_S_O_S	0	1	775
1	ObjOut	15	55_C_R_M_P_OS_O_S_D	0	1	711
1	ObjOut	15	56_C_R_M_I_OS_O_P_S	0	1	727
1	ObjOut	15	58_C_R_M_P_BP_B_P_D	0	1	704
1	ObjOut	15	59_C_R_M_P_BP_P_B_S	0	1	808
1	ObjOut	15	61_C_R_M_P_PB_B_P_S	0	1	645
1	ObjOut	15	63_C_R_M_P_PB_P_B_D	0	1	776
1	ObjOut	15	64_C_R_M_I_PB_P_O_S	0	1	1003
1	ObjOut	15	65_T_R_M_I_SP_S_S_S	1	1	1086
1	ObjOut	15	67_T_R_M_P_SP_P_S_S	1	1	774
1	ObjOut	15	68_T_R_M_I_SP_P_P_D	1	1	722
1	ObjOut	15	69_T_R_M_P_PS_S_P_S	1	1	620
1	ObjOut	15	70_T_R_M_I_PS_S_S_D	1	1	680
1	ObjOut	15	72_T_R_M_I_PS_P_P_S	1	1	674
1	ObjOut	15	81_T_R_M_P_OB_B_O_S	1	1	687
1	ObjOut	15	82_T_R_M_I_OB_B_B_D	1	1	704
1	ObjOut	15	83_T_R_M_P_BO_O_B_S	1	1	776
1	ObjOut	15	84_T_R_M_I_BO_O_O_D	1	1	685
1	ObjOut	15	85_T_R_M_I_OB_O_O_S	1	1	853
1	ObjOut	15	86_T_R_M_P_OB_O_B_D	1	1	652
1	ObjOut	15	87_T_R_M_I_BO_B_B_S	1	1	686
1	ObjOut	15	88_T_R_M_P_BO_B_O_D	1	1	655
1	ObjOut	16	49_C_R_M_I_SO_S_B_S	0	1	683
1	ObjOut	16	50_C_R_M_P_SO_S_O_D	0	1	678
1	ObjOut	16	53_C_R_M_P_OS_S_O_S	0	1	701
1	ObjOut	16	55_C_R_M_P_OS_O_S_D	0	1	717
1	ObjOut	16	56_C_R_M_I_OS_O_P_S	0	1	732
1	ObjOut	16	58_C_R_M_P_BP_B_P_D	0	1	703
1	ObjOut	16	59_C_R_M_P_BP_P_B_S	0	1	726
1	ObjOut	16	61_C_R_M_P_PB_B_P_S	0	1	641
1	ObjOut	16	63_C_R_M_P_PB_P_B_D	0	1	674
1	ObjOut	16	64_C_R_M_I_PB_P_O_S	0	1	995
1	ObjOut	16	65_T_R_M_I_SP_S_S_S	1	1	1128
1	ObjOut	16	67_T_R_M_P_SP_P_S_S	1	1	771
1	ObjOut	16	68_T_R_M_I_SP_P_P_D	1	1	726
1	ObjOut	16	69_T_R_M_P_PS_S_P_S	1	1	626
1	ObjOut	16	70_T_R_M_I_PS_S_S_D	1	1	691
1	ObjOut	16	72_T_R_M_I_PS_P_P_S	1	1	675
1	ObjOut	16	81_T_R_M_P_OB_B_O_S	1	1	676
1	ObjOut	16	82_T_R_M_I_OB_B_B_D	1	1	708
1	ObjOut	16	83_T_R_M_P_BO_O_B_S	1	1	734
1	ObjOut	16	84_T_R_M_I_BO_O_O_D	1	1	684
1	ObjOut	16	85_T_R_M_I_OB_O_O_S	1	1	777
1	ObjOut	16	86_T_R_M_P_OB_O_B_D	1	1	655
1	ObjOut	16	87_T_R_M_I_BO_B_B_S	1	1	686
1	ObjOut	16	88_T_R_M_P_BO_B_O_D	1	1	648
1	ObjOut	17	49_C_R_M_I_SO_S_B_S	0	1	680
1	ObjOut	17	50_C_R_M_P_SO_S_O_D	0	1	684
1	ObjOut	17	53_C_R_M_P_OS_S_O_S	0	1	698
